persona_name,text,type,reason,keywords
農家（クレソン生産者）,こんにちは、クレソンの栽培は順調ですか？,TYPE_0,挨拶,挨拶|栽培
農家（クレソン生産者）,クレソンの保存方法について教えてください。,TYPE_0,保存方法の質問,保存方法|クレソン
農家（クレソン生産者）,クレソンの栄養価について詳しく知りたいです。,TYPE_0,栄養について,栄養|クレソン
農家（クレソン生産者）,熊本で春におすすめのクレソン料理はありますか？,TYPE_1,地域と季節の指定あり,熊本|春料理
農家（クレソン生産者）,クレソンを使った居酒屋メニューのアイデアはありますか？,TYPE_1,用途の指定あり,居酒屋|メニュー
農家（クレソン生産者）,クレソンと相性の良い食材は何ですか？,TYPE_2,曖昧な相性の質問,相性|食材
農家（クレソン生産者）,ダイエット向けのクレソンレシピを教えてください。,TYPE_2,目的に基づくレシピ,ダイエット|レシピ
農家（クレソン生産者）,子どもが食べやすいクレソン料理はありますか？,TYPE_2,対象に基づく質問,子ども|食べやすい
農家（クレソン生産者）,秋にピッタリなクレソンのサラダレシピを知りたいです。,TYPE_1,季節とレシピの指定あり,秋|サラダ
農家（クレソン生産者）,クレソンを使った加工品のアイデアがあれば教えてください。,TYPE_2,曖昧なアイデアの質問,加工品|アイデア
料理研究家,こんにちは、クレソン料理の新しいアイデアがあれば教えてください。,TYPE_0,挨拶・雑談,クレソン|アイデア
料理研究家,クレソンを使った和風のレシピを教えてもらえますか？,TYPE_1,明確な料理の方向性,和風|レシピ
料理研究家,クレソンの保存方法についてアドバイスをお願いします。,TYPE_0,保存方法の質問,保存方法|クレソン
料理研究家,春にぴったりなクレソン料理はありますか？,TYPE_1,季節に関する質問,春|料理
料理研究家,クレソンが持つ栄養素について知りたいです。,TYPE_0,栄養に関する質問,栄養素|クレソン
料理研究家,クレソンを使ったヘルシーなサラダのレシピを教えてください。,TYPE_2,ヘルシーな食事,ヘルシー|サラダ
料理研究家,クレソンを使ったスープのレシピはありますか？,TYPE_1,料理の具体的要望,スープ|レシピ
料理研究家,クレソンの苦味を和らげる調理法はありますか？,TYPE_2,調理法の工夫,苦味|調理法
料理研究家,クレソンの海外での使われ方について教えてください。,TYPE_0,雑談・情報収集,海外|使われ方
料理研究家,クレソンを使ったパン料理のアイデアはありますか？,TYPE_2,新しい料理の提案,パン料理|アイデア
中高生（料理初心者）,こんにちは！クレソンについて教えてください。,TYPE_0,挨拶,クレソン|挨拶
中高生（料理初心者）,クレソンの栄養ってどんなのがあるの？,TYPE_0,栄養について,栄養|健康
中高生（料理初心者）,クレソンを使った簡単なサラダレシピはありますか？,TYPE_1,レシピの具体性,サラダ|レシピ
中高生（料理初心者）,クレソンはどこで買えますか？,TYPE_2,購入場所の不明確さ,購入|場所
中高生（料理初心者）,クレソンを使った春の料理は何かありますか？,TYPE_1,季節に関連,春|料理
中高生（料理初心者）,初心者でもできるクレソンの料理法は？,TYPE_2,初心者向けの不明確さ,初心者|料理法
中高生（料理初心者）,クレソンを使ったおしゃれな料理を教えて！,TYPE_2,おしゃれな料理の不明確さ,おしゃれ|料理
中高生（料理初心者）,クレソンはどんな料理に合うの？,TYPE_2,料理との相性,相性|料理
中高生（料理初心者）,夏にぴったりなクレソンを使った料理は？,TYPE_1,季節に関連,夏|料理
中高生（料理初心者）,クレソンを冷凍保存する方法はありますか？,TYPE_0,保存方法について,冷凍保存|方法
外国人（英語話者）,こんにちは！クレソンの栄養って何ですか？,TYPE_0,栄養についての質問,クレソン|栄養
外国人（英語話者）,クレソンはどこで買えますか？,TYPE_1,購入場所を尋ねている,クレソン|購入
外国人（英語話者）,クレソンの保存方法を教えてください。,TYPE_0,保存方法の質問,クレソン|保存
外国人（英語話者）,春におすすめのクレソン料理はありますか？,TYPE_1,季節に関連した料理の質問,春|クレソン料理
外国人（英語話者）,クレソンを使った簡単なサラダレシピを教えて！,TYPE_2,具体的なレシピを要求している,サラダ|レシピ
外国人（英語話者）,クレソンの苦味を和らげる方法は？,TYPE_2,調理法に関する曖昧な質問,苦味|調理法
外国人（英語話者）,クレソンって他の野菜と何が違うの？,TYPE_2,比較の質問,クレソン|他の野菜
外国人（英語話者）,クレソンを使ったおつまみは何かありますか？,TYPE_1,用途に関する具体的な質問,おつまみ|クレソン
外国人（英語話者）,クレソンの旬はいつですか？,TYPE_1,旬の時期を尋ねている,クレソン|旬
外国人（英語話者）,クレソンはダイエットに良いですか？,TYPE_2,健康に関する曖昧な質問,ダイエット|クレソン
ダイエット中の社会人,こんにちは！クレソン料理について教えてください。,TYPE_0,挨拶,挨拶|クレソン
ダイエット中の社会人,クレソンの栄養価について知りたいです。,TYPE_0,栄養に関する質問,栄養|クレソン
ダイエット中の社会人,クレソンを使った簡単なサラダレシピはありますか？,TYPE_2,簡単レシピの希望,サラダ|簡単
ダイエット中の社会人,クレソンはどの時期に旬ですか？,TYPE_1,旬の季節に関する質問,旬|クレソン
ダイエット中の社会人,ダイエット中におすすめのクレソン料理は何ですか？,TYPE_2,ダイエット向けの質問,ダイエット|クレソン
ダイエット中の社会人,クレソンの保存方法を教えてください。,TYPE_0,保存方法に関する質問,保存|クレソン
ダイエット中の社会人,クレソンを使った時短レシピを知りたいです。,TYPE_2,時短レシピの希望,時短|レシピ
ダイエット中の社会人,クレソンを使った和風の料理はありますか？,TYPE_2,和風料理の希望,和風|クレソン
ダイエット中の社会人,クレソンと相性の良い食材は何ですか？,TYPE_2,相性に関する質問,相性|食材
ダイエット中の社会人,クレソンを使ったスープのレシピを探しています。,TYPE_2,スープレシピの希望,スープ|クレソン
